2026-06-18 10:37:01,214 | INFO | test
2026-06-18 10:39:47,480 | INFO | test
2026-06-18 11:01:33,809 | INFO | POST /agents called
2026-06-18 11:02:36,917 | INFO | POST /agents called
2026-06-18 11:06:20,913 | INFO | POST /agents called
2026-06-18 11:06:20,967 | INFO | Agent created successfully: id=5
2026-06-18 11:06:33,618 | INFO | POST /agents called
2026-06-18 11:06:33,645 | INFO | Agent created successfully: id=6
2026-06-18 11:22:16,984 | INFO | GET /agents called
2026-06-18 11:22:16,991 | INFO | getting successfully all agents
2026-06-18 11:22:31,961 | INFO | GET /agents/4 called
2026-06-18 11:22:31,967 | INFO | gettig agent: 4 successully
2026-06-18 11:22:37,806 | INFO | GET /agents/7 called
2026-06-18 11:22:37,845 | INFO | gettig agent: 7 successully
2026-06-18 11:23:44,102 | INFO | GET /agents/5 called
2026-06-18 11:23:44,107 | INFO | gettig agent: 5 successully
2026-06-18 11:23:47,695 | INFO | GET /agents/8 called
2026-06-18 11:23:47,699 | ERROR | agent not found: 8
2026-06-18 11:24:47,331 | INFO | PUT /agents/4 called
2026-06-18 11:24:47,331 | INFO | start updating agent 4
2026-06-18 11:27:30,923 | INFO | PUT /agents/4 called
2026-06-18 11:27:30,923 | INFO | start updating agent 4
2026-06-18 11:27:30,988 | INFO | agent 4 updated successfully
2026-06-18 11:27:40,308 | INFO | GET /agents/4 called
2026-06-18 11:27:40,313 | INFO | gettig agent: 4 successully
2026-06-18 11:27:53,231 | INFO | GET /agents called
2026-06-18 11:27:53,249 | INFO | getting successfully all agents
2026-06-18 11:39:25,411 | INFO | PUT /agents/4 called
2026-06-18 11:39:25,412 | INFO | start deactivating agent 4
2026-06-18 11:39:25,439 | INFO | deactivate agent 4 successfully
2026-06-18 11:39:33,570 | INFO | GET /agents/4 called
2026-06-18 11:39:33,575 | INFO | gettig agent: 4 successully
2026-06-18 11:39:41,649 | INFO | GET /agents called
2026-06-18 11:39:41,655 | INFO | getting successfully all agents
